name,owner_names,email,phone,address,category,website,entity_type,sos_status,registered_name,google_maps_url,sos_id
Basics and Beyond fitness & nutrition,,defigio@gettingfit.com,(615) 442-7700,"2424 21st Ave S Suite #104, Nashville, TN 37212",Personal Training,https://gettingfit.com/,,,Secretary of State Tre Hargett,https://www.google.com/maps/place/Basics+and+Beyond+fitness+%26+nutrition/data=!4m7!3m6!1s0x88646418fd8ded79:0x369548be31165a2a!8m2!3d36.1260948!4d-86.8043856!16s%2Fg%2F1tlnf57w!19sChIJee2N_RhkZIgRKloWMb5IlTY,
Roots Fitness,,astigma@astigmatic.com,(601) 218-8555,"3706 Hillsboro Pike Ste 3, Nashville, TN 37215",Personal Training,http://trainrootsfitness.com/,,,Secretary of State Tre Hargett,https://www.google.com/maps/place/Roots+Fitness/data=!4m7!3m6!1s0x88646764d0301e43:0x4c4ef145ea9c4cf6!8m2!3d36.1097738!4d-86.8110045!16s%2Fg%2F11fp3qqv_6!19sChIJQx4w0GRnZIgR9kyc6kXxTkw,
STRIDE Fitness,,carmelmountainranch@stridefitness.com,(615) 454-6956,"3415 Murphy Rd, Nashville, TN 37203",Barre,https://www.stridefitness.com/location/stride-west-end?utm_source=gbp&utm_medium=yext,,,CUSTOMER SUPPORT,https://www.google.com/maps/place/STRIDE+Fitness/data=!4m7!3m6!1s0x886467ebb4802c83:0xc6ddd5717908148c!8m2!3d36.1392947!4d-86.8205624!16s%2Fg%2F11q4j6njb8!19sChIJgyyAtOtnZIgRjBQIeXHV3cY,
Integra Fitness,,dylan@integrafitnessnashville.com,(615) 487-6163,"2141 Bandywood Dr, Nashville, TN 37215",Personal Training,https://integrafitnessnashville.com/,,,CUSTOMER SUPPORT,https://www.google.com/maps/place/Integra+Fitness/data=!4m7!3m6!1s0x8864897d337624cb:0x43bb10553463b5a!8m2!3d36.1043232!4d-86.8161452!16s%2Fg%2F11qmc4yh8_!19sChIJyyR2M32JZIgRWjtGUwWxOwQ,
Next Level Fitness,,info@nextlevelfitness.com,(615) 329-2747,"63 Hart St, Nashville, TN 37210",Personal Training,http://www.nextlevelfitness.com/,,,Secretary of State Tre Hargett,https://www.google.com/maps/place/Next+Level+Fitness/data=!4m7!3m6!1s0x886466951aea09c1:0x590d45af2790cf89!8m2!3d36.1417493!4d-86.758105!16s%2Fg%2F11g_8bwsr!19sChIJwQnqGpVmZIgRic-QJ69FDVk,
Takes 2 Fitness LLC,,,(615) 727-0012,"3102 West End Ave #125, Nashville, TN 37203",Personal Training,,,,Secretary of State Tre Hargett,https://www.google.com/maps/place/Takes+2+Fitness+LLC/data=!4m7!3m6!1s0x886466ae0a83d07b:0xefb36c3646f85c47!8m2!3d36.1435356!4d-86.8173066!16s%2Fg%2F1tfklxpr!19sChIJe9CDCq5mZIgRR1z4RjZss-8,
Outlaw Training Club,,johndoe@gmail.com,,"801 Rep. John Lewis Way S #101, Nashville, TN 37203",Personal Training,https://outlawtrainingclub.com/,,,Secretary of State Tre Hargett,https://www.google.com/maps/place/Outlaw+Training+Club/data=!4m7!3m6!1s0x8864679eeab7c6ab:0x7994f0d05c41b3d2!8m2!3d36.1515562!4d-86.7731368!16s%2Fg%2F11wnr1633v!19sChIJq8a36p5nZIgR0rNBXNDwlHk,
The Lab Training Studio,,thelabantioch@gmail.com,(615) 866-5940,"2625 Lakevilla Dr, Nashville, TN 37217",Personal Training,https://www.thelabtrainingstudio.online/,,,CUSTOMER SUPPORT,https://www.google.com/maps/place/The+Lab+Training+Studio/data=!4m7!3m6!1s0x88646d47d9fe8be1:0x72254edb7ad57b3d!8m2!3d36.0783443!4d-86.6409844!16s%2Fg%2F11tk8dp1wn!19sChIJ4Yv-2UdtZIgRPXvVettOJXI,
Trainbetr | Personal Training Greenhills,,user@domain.com,(615) 516-9508,"3710 Hillsboro Pike, Nashville, TN 37215",CrossFit,https://trainbetrnashville.com/greenhills-personal-training,,,Secretary of State Tre Hargett,https://www.google.com/maps/place/Trainbetr+%7C+Personal+Training+Greenhills/data=!4m7!3m6!1s0x886465dc905a20a9:0xb20a0fc3f9365c40!8m2!3d36.1096437!4d-86.8109521!16s%2Fg%2F11w1hhbs7y!19sChIJqSBakNxlZIgRQFw2-cMPCrI,
Body Sculpting Studio,,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com,(615) 297-9601,"4004 Hillsboro Pike Suite 214B, Nashville, TN 37215",Personal Training,https://www.bodysculptingstudio.com/,,,CUSTOMER SUPPORT,https://www.google.com/maps/place/Body+Sculpting+Studio/data=!4m7!3m6!1s0x88646470e2b00d8b:0x257fce5ce26462b3!8m2!3d36.1039806!4d-86.8149144!16s%2Fg%2F1v26mvk6!19sChIJiw2w4nBkZIgRs2Jk4lzOfyU,
Strength Sanctuary,,hi@typemade.mx,(615) 200-6565,"6115 Robertson Ave Suite 103, Nashville, TN 37209",Personal Training,https://strength-sanctuary.com/,,,CUSTOMER SUPPORT,https://www.google.com/maps/place/Strength+Sanctuary/data=!4m7!3m6!1s0x886461687ef19773:0x5bb268cf1ef4759e!8m2!3d36.1562602!4d-86.8703734!16s%2Fg%2F11jkvvnmw0!19sChIJc5fxfmhhZIgRnnX0Hs9osls,
"Physical Fitness Program Nashville, TN | Best You, LLC",,,(404) 368-8405,"1600 McGavock St #608, Nashville, TN 37203",Personal Training,https://www.nickcarrier.com/,,,Secretary of State Tre Hargett,"https://www.google.com/maps/place/Physical+Fitness+Program+Nashville,+TN+%7C+Best+You,+LLC/data=!4m7!3m6!1s0x8864669292155555:0x4caacea36f8e0d99!8m2!3d36.153238!4d-86.792921!16s%2Fg%2F11f5dyh7gz!19sChIJVVUVkpJmZIgRmQ2Ob6POqkw",
Marathon Fitness Co,,user@domain.com,(615) 566-6036,"491 B, Humphreys St, Nashville, TN 37203",Pilates,http://www.themarathonfitness.com/,,,Secretary of State Tre Hargett,https://www.google.com/maps/place/Marathon+Fitness+Co/data=!4m7!3m6!1s0x886466ef2e0f5fef:0x5919cc3b908367cc!8m2!3d36.1421035!4d-86.7712912!16s%2Fg%2F1tf2sz7m!19sChIJ718PLu9mZIgRzGeDkDvMGVk,
HOMEFIT East Nashville,,info@thehomefit.com,(855) 934-3834,"100 Taylor St C9, Nashville, TN 37208",Personal Training,https://www.thehomefit.com/east-nashville,,,Secretary of State Tre Hargett,https://www.google.com/maps/place/HOMEFIT+East+Nashville/data=!4m7!3m6!1s0x8d9e51ea813f4b4d:0xb7a5549d7ca02a40!8m2!3d36.180314!4d-86.78579!16s%2Fg%2F11kqny_0tf!19sChIJTUs_gepRno0RQCqgfJ1Upbc,
Full Ride Cycling,,info@fullridecycling.com,(615) 512-0222,"2227 10th Ave S, Nashville, TN 37204",Cycling,https://www.fullridecycling.com/,,,Secretary of State Tre Hargett,https://www.google.com/maps/place/Full+Ride+Cycling/data=!4m7!3m6!1s0x8864676a78c27e6f:0xf312b393ac85b9cd!8m2!3d36.1270744!4d-86.786394!16s%2Fg%2F11gsgb439p!19sChIJb37CeGpnZIgRzbmFrJOzEvM,
Cycle Haus Nashville,,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com,(629) 800-5980,"819 Main St, Nashville, TN 37206",Cycling,https://www.cyclehausnashville.com/,,,Secretary of State Tre Hargett,https://www.google.com/maps/place/Cycle+Haus+Nashville/data=!4m7!3m6!1s0x886467fbdaef8f99:0xf1a56414f9a02233!8m2!3d36.1762973!4d-86.7574021!16s%2Fg%2F11h_7w8bh3!19sChIJmY_v2vtnZIgRMyKg-RRkpfE,
CYCLEBAR,,westnash@cyclebar.com,(615) 727-8888,"3820 Charlotte Ave Suite 111, Nashville, TN 37209",Barre,https://cyclebar.com/location/west-nashville,,,CUSTOMER SUPPORT,https://www.google.com/maps/place/CYCLEBAR/data=!4m7!3m6!1s0x88646137095f9e21:0xf9b5546766ccd2e!8m2!3d36.1528128!4d-86.8318613!16s%2Fg%2F11h3btrpjk!19sChIJIZ5fCTdhZIgRLs1sdkZVmw8,
Crew Training Club,,info@crewtrainingclub.com,(615) 477-7498,"1008 Russell St, Nashville, TN 37206",Cycling,https://crewtrainingclub.com/,,,Secretary of State Tre Hargett,https://www.google.com/maps/place/Crew+Training+Club/data=!4m7!3m6!1s0x8864674b0be506d1:0xecb13fe51176183c!8m2!3d36.1757538!4d-86.7513904!16s%2Fg%2F11w1k_wt43!19sChIJ0QblC0tnZIgRPBh2EeU_sew,
BC Block,,team@bcblocknashville.com,,"513 Merritt Ave, Nashville, TN 37203",Pilates,http://www.bcblocknashville.com/,,,CUSTOMER SUPPORT,https://www.google.com/maps/place/BC+Block/data=!4m7!3m6!1s0x886467c8f8887335:0x265c96eb1ac4c2ba!8m2!3d36.1393434!4d-86.7676365!16s%2Fg%2F11gjkw94xx!19sChIJNXOI-MhnZIgRusLEGuuWXCY,
"HOTWORX - Nashville, TN - Midtown",,studio.tn0008@hotworx.net,(615) 866-9085,"1806 Chet Atkins Pl, Nashville, TN 37203",Yoga,https://www.hotworx.net/studio/nashville-midtown?utm_source=google&utm_medium=organic&utm_campaign=gbp,,,Secretary of State Tre Hargett,"https://www.google.com/maps/place/HOTWORX+-+Nashville,+TN+-+Midtown/data=!4m7!3m6!1s0x886467a8cc2288b1:0xa5a07236f124c887!8m2!3d36.1488044!4d-86.7950934!16s%2Fg%2F11fn71ytjp!19sChIJsYgizKhnZIgRh8gk8TZyoKU",
Barry's Nashville,,nashville@barrys.com,(615) 457-1571,"308 11th Ave S, Nashville, TN 37203",CrossFit,https://www.barrys.com/studio/nashville,,,Secretary of State Tre Hargett,https://www.google.com/maps/place/Barry%27s+Nashville/data=!4m7!3m6!1s0x8864662d7119a0a3:0x3523993a98647588!8m2!3d36.1534747!4d-86.7836747!16s%2Fg%2F12613g55x!19sChIJo6AZcS1mZIgRiHVkmDqZIzU,
QNTM Fit Life,,,(615) 942-9006,"114 George L Davis Blvd, Nashville, TN 37203",Gym,http://www.qntmfitlife.com/,,,Secretary of State Tre Hargett,https://www.google.com/maps/place/QNTM+Fit+Life/data=!4m7!3m6!1s0x886466f303aaba1f:0x801a2b94d985132!8m2!3d36.1570389!4d-86.7892032!16s%2Fg%2F11c37qfdq7!19sChIJH7qqA_NmZIgRMlGYTbmiAQg,
GetFit Anytime,,info@getfitanytime.com,(615) 642-2875,"2807 Biloxi Ave, Nashville, TN 37204",Gym,http://www.getfitanytime.com/,,,CUSTOMER SUPPORT,https://www.google.com/maps/place/GetFit+Anytime/data=!4m7!3m6!1s0x886465d143cd9507:0x4f35bd68c59be9de!8m2!3d36.1235776!4d-86.7738603!16s%2Fg%2F1tks7114!19sChIJB5XNQ9FlZIgR3umbxWi9NU8,
"Iron Tribe Fitness - Belmont - Gym, Personal Training",,,(629) 276-5590,"3201 Belmont Blvd, Nashville, TN 37212",CrossFit,https://irontribefitness.com/location/belmont/,,,Secretary of State Tre Hargett,"https://www.google.com/maps/place/Iron+Tribe+Fitness+-+Belmont+-+Gym,+Personal+Training/data=!4m7!3m6!1s0x8864643e98e818a1:0xf9010e4e1373dd54!8m2!3d36.1168608!4d-86.798109!16s%2Fg%2F1q5bmy041!19sChIJoRjomD5kZIgRVN1zE04OAfk",
Shed Group Fitness Belle Meade (Trader Joe's),,user@domain.com,(615) 593-2579,"Lionshead Shopping Center, 90 White Bridge Rd #90B, Nashville, TN 37205",Personal Training,http://www.shedgroupfitness.com/,,,Secretary of State Tre Hargett,https://www.google.com/maps/place/Shed+Group+Fitness+Belle+Meade+%28Trader+Joe%27s%29/data=!4m7!3m6!1s0x886463db4995ee01:0x5def54c7c866abe2!8m2!3d36.1307261!4d-86.852227!16s%2Fg%2F11b6p6prtk!19sChIJAe6VSdtjZIgR4qtmyMdU710,
Google Maps can't reach the internet,,,,,,,,,Secretary of State Tre Hargett,https://www.google.com/maps/place/Vigor+Fitness/data=!4m7!3m6!1s0x886461055c8af01d:0x2264080520ccedb5!8m2!3d36.1573084!4d-86.8686481!16s%2Fg%2F11vpcs4mrz!19sChIJHfCKXAVhZIgRte3MIAUIZCI,
Poe's Gym,,astigma@astigmatic.com,(615) 668-8760,"6100 Centennial Blvd, Nashville, TN 37209",CrossFit,http://www.poesgym.com/,,,Secretary of State Tre Hargett,https://www.google.com/maps/place/Poe%27s+Gym/data=!4m7!3m6!1s0x88646108a11323c5:0xfb1d00c57d2e34e5!8m2!3d36.1674085!4d-86.8584367!16s%2Fg%2F11bxf2b12f!19sChIJxSMToQhhZIgR5TQufcUAHfs,
Gym 5,,info@gym5.com,(615) 226-5559,"952 Main St, Nashville, TN 37206",Gym,http://www.gym5.com/,,,CUSTOMER SUPPORT,https://www.google.com/maps/place/Gym+5/data=!4m7!3m6!1s0x886467cd157e2629:0xe87dbeef11fe28c7!8m2!3d36.1771249!4d-86.7530614!16s%2Fg%2F1th0c54j!19sChIJKSZ-Fc1nZIgRxyj-Ee--feg,
Iconix Fitness Nashville,,iconix@iconixfit.com,(615) 528-1224,"950 Signal Xing, Nashville, TN 37203",Gym,https://www.iconixfit.com/nashville,,,Secretary of State Tre Hargett,https://www.google.com/maps/place/Iconix+Fitness+Nashville/data=!4m7!3m6!1s0x8864678b79e51661:0xcf4a4945f8b477df!8m2!3d36.1605385!4d-86.7852033!16s%2Fg%2F11mssl7d3f!19sChIJYRbleYtnZIgR33e0-EVJSs8,
Music City Muscle Gym,,,(615) 857-3131,"1801 12th Ave N, Nashville, TN 37208",CrossFit,https://www.musiccitymusclegym.com/,,,Secretary of State Tre Hargett,https://www.google.com/maps/place/Music+City+Muscle+Gym/data=!4m7!3m6!1s0x8864674d63f09ad1:0x6492e4319d919789!8m2!3d36.1806073!4d-86.807009!16s%2Fg%2F11sck3ssjw!19sChIJ0ZrwY01nZIgRiZeRnTHkkmQ,
Elevè Fitness,,elevefitnessnash@gmail.com,(615) 499-6119,"2000 Glen Echo Rd #107, Nashville, TN 37215",Personal Training,https://www.elevefitnessnash.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=10407856129768302726,,,Secretary of State Tre Hargett,https://www.google.com/maps/place/Elev%C3%A8+Fitness/data=!4m7!3m6!1s0x8864656a0ac0322f:0x157e0dbd4f0298e3!8m2!3d36.1092018!4d-86.8104867!16s%2Fg%2F11xg00mj39!19sChIJLzLACmplZIgR45gCT70NfhU,
